,diagnosis
diagnosis,1.0
concave points_worst,0.7935660171412694
perimeter_worst,0.7829141371737594
concave points_mean,0.7766138400204371
radius_worst,0.7764537785950396
perimeter_mean,0.7426355297258334
area_worst,0.7338250349210504
radius_mean,0.7300285113754563
area_mean,0.7089838365853902
concavity_mean,0.6963597071719052
concavity_worst,0.6596102103692332
compactness_mean,0.5965336775082527
compactness_worst,0.5909982378417918
radius_se,0.5671338208247175
perimeter_se,0.5561407034314831
area_se,0.5482359402780241
texture_worst,0.4569028213967985
smoothness_worst,0.4214648610664026
symmetry_worst,0.4162943110486197
texture_mean,0.41518529984520475
concave points_se,0.4080423327165051
smoothness_mean,0.35855996508593324
symmetry_mean,0.33049855426254676
fractal_dimension_worst,0.32387218872082474
compactness_se,0.2929992442488586
concavity_se,0.2537297659808307
fractal_dimension_se,0.07797241739025584
id,0.03976850962171701
symmetry_se,-0.006521755870647806
texture_se,-0.008303332973877035
fractal_dimension_mean,-0.012837602698431882
smoothness_se,-0.0670160105794875
Unnamed: 32,
